onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
484.0	0.1	P2	yeah	SPK				shared	manual	-1320.0	-1320.0	-1320.0		200.0	
484.0	0.1	P2	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-100.0				200.0	
484.1	0.9	GROUP	(0.9)	SIL				shared	manual	0.0				900.0	
485.0	0.1	P4	Yeah.	SPK				shared	manual	0.0	900.0	900.0		200.0	
485.0	0.1	P4	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-100.0				200.0	
485.1	0.404	GROUP	(0.4)	SIL				shared	manual	0.0				220.0	
485.504	0.18	P4	yeah	SPK		0.01279	3.22	mic12	manual	0.0	404.0	1404.0		248.0	
485.56	1.189	P1	We can agree on that	SPK				shared	manual	-124.0	-124.0	-124.0		1746.0	
485.56	0.124	P1	[OVL:simultaneous]	OVL	simultaneous			shared	confident	-1189.0				248.0	
486.0	13.0	P2	um so in my opinion then maybe like how to work better across teams kind of fits with all of us of what we're you know you you're one better well-being in the workplace	SPK				shared	manual	316.0	-749.0	-749.0		1498.0	
486.0	0.749	P2	[OVL:competitive]	OVL	competitive			shared	uncertain	-13000.0				1498.0	collaborative
499.0	0.977	GROUP	(1.0)	SIL				shared	manual	12251.0					
499.977	6.568	P2	you guys are also sort of between two and four so and I'm like between one and one and two	SPK		0.018109	1.08	mic10	manual	0.0	977.0	13228.0		847.0	
502.446	0.5	P3	mmh	BCK				shared	manual	-4099.0			2469.0	500.0	
506.198	1.09	P4	mm-hmm	BCK				shared	manual	3252.0			6221.0	1090.0	
506.545	0.586	GROUP	(0.6)	SIL				shared	manual	-743.0				586.0	
507.131	2.4	P3	So the two is dominant, yeah	SPK		0.027422	1.03	mic11	manual	0.0	586.0	586.0		3219.0	
508.0	5.312	P2	so it two is seems to be the one that like fits all of us in some sort of way	SPK				shared	manual	-1531.0	-1531.0	-1531.0		3076.0	
508.0	1.531	P2	[OVL:floor_fight]	OVL	floor_fight			shared	uncertain	-5312.0				3062.0	collaborative
513.298	1.923	P3	So we can go with two if everybody agrees.	SPK		0.024313	4.23	mic11	manual	3767.0	-14.0	-14.0		14.0	
515.221	0.22	GROUP	(0.2)	SIL				shared	manual	0.0					
515.441	0.32	P1	I agree.	SPK		0.032753	6.13	mic9	manual	0.0	220.0	220.0		0.0	
515.761	0.861	GROUP	(0.9)	SIL				shared	manual	0.0				0.0	
516.622	1.843	P3	And so what will be the format?	SPK		0.024961	5.24	mic11	manual	0.0	861.0	861.0			
518.465	0.34	GROUP	(0.3)	SIL				shared	manual	0.0				0.0	
518.805	7.349	P3	I think in the context of the company, maybe like an online training so people can tackle the topic on their own...	SPK		0.022604	5.13	mic11	manual	0.0	340.0	3044.0		0.0	
526.154	2.279	GROUP	(2.3)	SIL				shared	manual	0.0					
528.433	10.01	P4	I think if the topic is how to work better across teams then it should be more proactive and an interactive informal workshop across department working group.	SPK		0.021046	3.66	mic12	manual	0.0	2279.0	2279.0		10806.0	
529.056	1.419	P3	time	SPK				shared	manual	-9387.0	-9387.0	-9387.0		2838.0	
529.056	1.419	P3	[OVL:floor_fight]	OVL	floor_fight			shared	uncertain	-1419.0				2838.0	
530.475	8.268	GROUP	(8.3)	SIL				shared	manual	0.0				7968.0	
538.743	3.924	P4	I think the fourth one would be would be perfect for it.	SPK		0.014647	2.92	mic12	manual	0.0	8268.0	8268.0			
542.667	0.384	GROUP	(0.4)	SIL				shared	manual	0.0					
543.051	9.299	P1	I would say to do it more interactively cause also we are talking about across teams you need to know people, get comfortable with them	SPK		0.014901	0.56	mic12	manual	0.0	384.0	384.0		500.0	
545.382	0.5	P4	yeah	BCK				shared	manual	-6968.0			2331.0	500.0	
552.35	2.81	GROUP	(2.8)	SIL				shared	manual	6468.0				1737.0	
552.523	0.5	P4	mmh	BCK				shared	manual	-2637.0				500.0	
553.923	1.699	P2	[BRE]	BRE				shared	manual	900.0				1699.0	
555.16	11.184	P2	Yeah, okay, I was thinking more of, yeah, either the lecture and Q&A or the online training and quiz.	SPK		0.040724	5.94	mic10	manual	-462.0	2810.0	2810.0		1080.0	
565.726	1.499	P2	um	FP				shared	manual	-618.0				1499.0	
566.344	1.4	GROUP	(1.4)	SIL				shared	manual	-881.0				881.0	
567.744	17.078	P2	But maybe just from hearing your guys' points of view, maybe the lecture is like a little bit of an in-betweener than half a touch points with other people and not just an online click, click, click onto the next button.	SPK		0.041541	3.7	mic10	manual	0.0	1400.0	15394.0		3825.0	
576.984	0.5	P4	yeah	BCK				shared	manual	-7838.0			9240.0	500.0	
577.664	0.5	P3	yeah	BCK				shared	manual	180.0			9920.0	500.0	
580.303	0.34	P4	yeah	BCK		0.017751	1.95	mic12	manual	2139.0			12559.0	340.0	
582.233	0.5	P3	yeah	BCK				shared	manual	1590.0			14489.0	500.0	
583.724	0.341	P4	yeah	BCK		0.023916	1.7	mic12	manual	991.0			15980.0	471.0	
584.0	16.805	P4	But also I feel like the cross department working group, I feel like working and applying helps more than just an online training or a lecture, it’s more hands on	SPK				shared	manual	-65.0	-822.0	-822.0		9347.0	
584.0	0.822	P4	[OVL:competitive]	OVL	competitive			shared	confident	-16805.0				1709.0	competitive
588.064	1.27	P2	mm-hmm	BCK				shared	manual	3242.0			4064.0	1270.0	
596.665	0.5	P2	mmh	BCK				shared	manual	7331.0			12665.0	917.0	
597.026	1.829	P1	Yeah, I agree.	SPK		0.014232	1.05	shared	manual	-139.0	-3779.0	-3779.0		4057.0	
597.026	0.26	P1	Yeah,	BCK		0.010772	1.63	mic9	manual	-1829.0			13026.0	919.0	
597.026	1.829	P1	[OVL:floor_fight]	OVL	floor_fight			shared	confident	-260.0				4057.0	
598.855	1.905	GROUP	(1.9)	SIL				shared	manual	0.0				1905.0	
600.76	1.541	P3	Yeah, I agree.	SPK		0.013777	5.05	mic11	manual	0.0	1905.0	1905.0		45.0	
602.301	0.06	GROUP	(.)	SIL				shared	manual	0.0					
602.361	1.1	P3	But how do we do that?	SPK		0.015965	4.91	mic11	manual	0.0	60.0	3506.0			
603.461	0.12	GROUP	(.)	SIL				shared	manual	0.0					
603.581	7.404	P3	Because if you have 90 people in a cross-department, no, like a working group, so you're going to select some people.	SPK		0.014896	4.66	mic11	manual	0.0	120.0	4726.0			
610.985	5.496	GROUP	(5.5)	SIL				shared	manual	0.0				3710.0	
611.33	0.5	P1	yeah	BCK				shared	manual	-5151.0				500.0	
613.264	0.56	P4	yeah	BCK		0.053168	4.06	mic12	manual	1434.0				560.0	
613.831	6.04	GROUP	[GROUP LAUGHTER]	LAU				shared	manual	7.0				6040.0	
616.481	3.259	P1	So should we say three and four are more aligned?	SPK		0.068022	1.52	mic9	manual	-3390.0	5496.0	5496.0		3259.0	
619.74	0.912	GROUP	(0.9)	SIL				shared	manual	0.0				131.0	
620.652	1.641	P1	with working across teams.	SPK		0.017746	6.0	mic9	manual	0.0	912.0	9667.0			
622.293	8.707	GROUP	(8.7)	SIL				shared	manual	0.0				2400.0	
624.393	1.229	P2	yeah	BCK				shared	manual	-6607.0				1229.0	
625.833	1.171	P2	um	FP				shared	manual	211.0				1171.0	
631.0	12.0	P2	And maybe just easier to coordinate with the lecture and q&a, but	SPK				shared	manual	3996.0	8707.0	8707.0		1000.0	
641.331	0.5	P2	yeah	BCK				shared	manual	-1669.0				500.0	
642.208	0.5	P3	yeah	BCK				shared	manual	377.0			11208.0	500.0	
643.0	0.09	GROUP	(.)	SIL				shared	manual	292.0					
643.09	7.513	P3	But I can feel like all the four topics, four formats are quite relevant.	SPK		0.018022	4.71	mic11	manual	0.0	90.0	90.0		0.0	
650.603	0.28	GROUP	(0.3)	SIL				shared	manual	0.0				12.0	
650.871	1.191	P2	mmh	BCK				shared	manual	-12.0				1191.0	
650.883	5.99	P3	I think because to work better across teams, you can also need to know about yourself and know a bit of like	SPK		0.027561	5.44	mic11	manual	-1179.0	280.0	7883.0		1179.0	
656.873	2.282	GROUP	(2.3)	SIL				shared	manual	0.0				0.0	
659.155	0.701	P3	Like insights.	SPK		0.021964	5.02	mic11	manual	0.0	2282.0	16155.0		0.0	
659.856	0.28	GROUP	(0.3)	SIL				shared	manual	0.0				131.0	
660.005	0.92	P2	mm-hmm	BCK				shared	manual	-131.0				1420.0	
660.136	1.912	P3	So like online training can work.	SPK		0.033468	2.43	mic11	manual	-789.0	280.0	17136.0		1589.0	
660.243	0.5	P2	mm-hmm	BCK				shared	manual	-1805.0			107.0	1000.0	
661.898	1.702	P3	Lecture also can also work.	SPK		0.02925	5.06	mic11	manual	1155.0	-150.0	18898.0		300.0	
661.898	0.15	P3	[OVL:backchannel_ovl]	OVL	backchannel_ovl			shared	confident	-1702.0				300.0	
663.6	0.32	GROUP	(0.3)	SIL				shared	manual	1552.0				275.0	
663.645	1.092	P2	mm-hmm	BCK				shared	manual	-275.0				1092.0	
663.92	2.222	P3	So you got like more knowledge.	SPK		0.024028	4.84	mic11	manual	-817.0	320.0	20920.0		817.0	
