group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index	lex_word_count	lex_unique_words	lex_ttr	lex_bigram_entropy	lex_trigram_entropy	lex_agreement_count	lex_hedging_count	lex_certainty_count	lex_positive_count	lex_negative_count	lex_question_count	lex_suggestion_count	lex_sentiment_ratio	lex_social_composite
grp-08	T1	27	810.0	67.4746	0.0835	36.4919	2.8644	6.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	24.0	0.7741935483870968	4.773557262275186	4.857980995127571	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1612903225806451
grp-08	T1	28	840.0	66.063	0.1085	36.4851	2.8992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333
grp-08	T2	0	0.0	60.4782	0.0584	36.2636	2.7657	7.05	0.0	0.0	1.0	4.0	2.0	1.813	0.0	7.0	5.0	0.7142857142857143	2.584962500721156	2.321928094887362	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
grp-08	T2	1	30.0	56.9803	0.0835	36.2555	2.7702	4.664	0.0	0.0	0.0	1.0	0.0	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T2	2	60.0	53.083	0.0835	36.2607	2.8318	17.185	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
grp-08	T2	3	90.0	49.9217	0.1251	36.0655	2.8292	9.413	0.0	0.0	1.0	1.0	0.0	4.722	0.0	15.0	14.0	0.9333333333333332	3.8073549220576055	3.7004397181410926	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
grp-08	T2	4	120.0	47.8572	0.1	36.0851	2.6927	23.924	2.0	1.0	1.0	0.0	0.0	0.0	0.0	12.0	12.0	1.0	3.459431618637298	3.321928094887362	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
grp-08	T2	5	150.0	45.4077	0.1084	36.3004	2.58	7.425	1.0	0.0	1.0	6.0	3.0	4.569	0.0	56.0	37.0	0.6607142857142857	5.708632440797383	5.7548875021634665	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T2	6	180.0	49.716	0.1086	36.3063	2.6321	4.896	1.0	0.0	2.0	2.0	0.0	0.491	0.5	71.0	45.0	0.6338028169014085	5.986425874087828	6.079538949531787	4.0	6.0	2.0	3.0	1.0	0.0	0.0	0.4	0.0985915492957746
grp-08	T2	7	210.0	54.1677	0.1085	36.3179	2.7569	2.527	0.0	0.0	1.0	2.0	1.0	1.002	0.0	96.0	53.0	0.5520833333333334	6.464592450436211	6.554588851677623	1.0	8.0	2.0	2.0	0.0	0.0	1.0	0.6666666666666666	0.03125
grp-08	T2	8	240.0	56.1712	0.0918	36.3218	2.8732	2.99	0.0	0.0	1.0	1.0	1.0	0.501	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T2	9	270.0	62.4456	0.0751	36.3265	2.9598	43.619	0.0	0.0	0.0	9.0	4.0	6.71	0.4444444444444444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-08	T2	10	300.0	63.4941	0.0501	36.3296	2.97	0.0	0.0	0.0	1.0	2.0	0.0	0.562	0.0	40.0	28.0	0.7	5.182838116298145	5.247927513443589	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
grp-08	T2	11	330.0	64.306	0.0751	36.3428	2.9421	10.485	1.0	0.0	4.0	12.0	4.0	6.882	0.3333333333333333	53.0	38.0	0.7169811320754716	5.623516641218018	5.6724253419715005	4.0	3.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0754716981132075
grp-08	T2	12	360.0	65.7965	0.0834	36.3593	2.9596	6.863	0.0	2.0	4.0	2.0	1.0	1.48	0.5	102.0	64.0	0.6274509803921569	6.571529428274914	6.64385618977474	8.0	4.0	1.0	5.0	0.0	0.0	2.0	0.8333333333333334	0.1274509803921568
