session_id	task	participant_a	participant_b	metric	window_count	corr	best_lag_corr	best_lag_windows
ses-20260317_grp-09_run01	T3	P1	P4	pupil_mean	54	0.832805352168906	0.832805352168906	0
ses-20260317_grp-09_run01	T3	P2	P3	eda_mean	54	0.5430887679586679	0.5638129630514638	-1
ses-20260317_grp-09_run01	T3	P2	P3	ppg_rate_proxy_bpm	54	-0.01763609075321795	0.2882220539142769	-2
ses-20260317_grp-09_run01	T3	P2	P3	pupil_mean	54	0.5526585018679786	0.6623480203695005	2
ses-20260317_grp-09_run01	T3	P2	P4	pupil_mean	54	0.7379622428477163	0.7999824032151378	-1
ses-20260317_grp-09_run01	T3	P3	P4	pupil_mean	54	0.7346889457206376	0.7945189220801062	-2
ses-20260317_grp-09_run01	T4	P1	P2	pupil_mean	29	0.4491376496462741	0.4491376496462741	0
ses-20260317_grp-09_run01	T4	P1	P3	pupil_mean	29	0.9047539250843522	0.9047539250843522	0
ses-20260317_grp-09_run01	T4	P1	P4	pupil_mean	29	0.6143259424540467	0.6143259424540467	0
ses-20260317_grp-09_run01	T4	P2	P3	eda_mean	29	-0.0439238071617108	0.042688428916191526	-2
ses-20260317_grp-09_run01	T4	P2	P3	ppg_rate_proxy_bpm	29	0.35532949084403964	0.35532949084403964	0
ses-20260317_grp-09_run01	T4	P2	P3	pupil_mean	29	0.5880851666307699	0.5880851666307699	0
ses-20260317_grp-09_run01	T4	P2	P4	pupil_mean	29	0.7712238417581697	0.7712238417581697	0
ses-20260317_grp-09_run01	T4	P3	P4	pupil_mean	29	0.654891200387877	0.654891200387877	0
ses-20260317_grp-10_run01	T0	P1	P2	eda_mean	25	0.5987786238274732	0.5987786238274732	0
ses-20260317_grp-10_run01	T0	P1	P2	ppg_rate_proxy_bpm	25	-0.3141866232566746	0.16286085124691327	2
ses-20260317_grp-10_run01	T0	P1	P2	pupil_mean	20	0.25843668058249225	0.5141563555144711	1
ses-20260317_grp-10_run01	T0	P1	P3	eda_mean	25	0.162656420795295	0.6795281586690866	-2
ses-20260317_grp-10_run01	T0	P1	P3	ppg_rate_proxy_bpm	25	-0.1429696503763167	-0.07314119679796328	1
ses-20260317_grp-10_run01	T0	P1	P3	pupil_mean	20	0.2888745557496435	0.2888745557496435	0
ses-20260317_grp-10_run01	T0	P1	P4	eda_mean	25	0.09423531669176688	0.09423531669176688	0
ses-20260317_grp-10_run01	T0	P1	P4	ppg_rate_proxy_bpm	25	-0.3360511531014539	-0.25861679071147414	-1
ses-20260317_grp-10_run01	T0	P1	P4	pupil_mean	20	0.26317754895688106	0.26317754895688106	0
ses-20260317_grp-10_run01	T0	P2	P3	eda_mean	25	0.10207746248206988	0.17937411292540545	2
ses-20260317_grp-10_run01	T0	P2	P3	ppg_rate_proxy_bpm	25	-0.0632474752109131	0.007509229321269621	-2
ses-20260317_grp-10_run01	T0	P2	P3	pupil_mean	20	0.6114251399347884	0.9145990491259502	-2
ses-20260317_grp-10_run01	T0	P2	P4	eda_mean	25	0.04768185689606149	0.08093495863169568	2
ses-20260317_grp-10_run01	T0	P2	P4	ppg_rate_proxy_bpm	25	-0.13292257816232086	-0.0042033414876227046	-1
ses-20260317_grp-10_run01	T0	P2	P4	pupil_mean	20	0.7575642801216466	0.9107780261491524	-1
ses-20260317_grp-10_run01	T0	P3	P4	eda_mean	25	-0.025008128639616285	0.22696512817184422	2
ses-20260317_grp-10_run01	T0	P3	P4	ppg_rate_proxy_bpm	25	0.2662819559272119	0.7487378117660957	2
ses-20260317_grp-10_run01	T0	P3	P4	pupil_mean	20	0.8301251290292324	0.9077022518377947	1
ses-20260317_grp-10_run01	T1	P1	P2	eda_mean	53	-0.08357367183700666	0.10215442910471473	-2
ses-20260317_grp-10_run01	T1	P1	P2	ppg_rate_proxy_bpm	53	-0.2908267850964345	-0.04367433465118477	2
ses-20260317_grp-10_run01	T1	P1	P2	pupil_mean	24	0.868839588445849	0.8837216838159229	-1
ses-20260317_grp-10_run01	T1	P1	P3	eda_mean	53	-0.0716689686578393	-0.00852845336386116	-2
ses-20260317_grp-10_run01	T1	P1	P3	ppg_rate_proxy_bpm	53	0.028147223727384	0.11136148331920975	2
ses-20260317_grp-10_run01	T1	P1	P3	pupil_mean	24	0.13657227400869848	0.582650862258381	2
ses-20260317_grp-10_run01	T1	P1	P4	eda_mean	53	-0.07173103436604382	0.18615984242282912	2
ses-20260317_grp-10_run01	T1	P1	P4	ppg_rate_proxy_bpm	53	-0.048015898551409676	0.10695284727338164	-2
ses-20260317_grp-10_run01	T1	P1	P4	pupil_mean	24	0.6882668273286351	0.6882668273286351	0
ses-20260317_grp-10_run01	T1	P2	P3	eda_mean	53	0.6826707307185123	0.7100193081060545	1
ses-20260317_grp-10_run01	T1	P2	P3	ppg_rate_proxy_bpm	53	-0.15697875264832795	-0.11080325692195457	-1
ses-20260317_grp-10_run01	T1	P2	P3	pupil_mean	24	0.2214060636400937	0.261926187996075	2
ses-20260317_grp-10_run01	T1	P2	P4	eda_mean	53	0.5196903772842498	0.5196903772842498	0
ses-20260317_grp-10_run01	T1	P2	P4	ppg_rate_proxy_bpm	53	0.11050842309679053	0.22707533045213216	2
ses-20260317_grp-10_run01	T1	P2	P4	pupil_mean	24	0.670598780857093	0.7213524923305743	1
ses-20260317_grp-10_run01	T1	P3	P4	eda_mean	53	0.11585559348648454	0.12125567764120683	-1
ses-20260317_grp-10_run01	T1	P3	P4	ppg_rate_proxy_bpm	53	-0.11769521618475115	0.054239722683425695	2
ses-20260317_grp-10_run01	T1	P3	P4	pupil_mean	24	0.5149198283967581	0.6339113321083859	-2
