group_id	task_id	window_index	tr_semantic_continuity	tr_cross_speaker_similarity
grp-08	T2	22	0.47075706720352173	0.3649580180644989
grp-08	T2	23	0.21921246747175852	0.2594466382561594
grp-08	T2	24	0.1415777951478958	0.19037053982416788
grp-08	T2	25	0.3545564115047455	0.3545564115047455
grp-08	T2	26		
grp-08	T2	27		
grp-08	T2	28		
grp-08	T2	29	0.201228067278862	0.22063040567768943
grp-08	T2	30	0.2720883548259735	0.22647736500948668
grp-08	T2	31	0.1525339037179947	0.13798269948789052
grp-08	T2	32	0.35974568128585815	0.3567536175251007
grp-08	T2	33		
grp-08	T3	2	0.18728897401264735	0.19018379479114497
grp-08	T3	3	0.11087453737854958	0.31929480231234003
grp-08	T3	5		
grp-08	T3	11		
grp-08	T3	12		
grp-08	T3	13	0.26711397618055344	0.2369197044107649
grp-08	T3	14	0.2274686594804128	0.2063004333111975
grp-08	T3	15		
grp-08	T3	16		
grp-08	T3	17	0.06123374402523041	0.06123374402523041
grp-08	T3	18	0.19586246460676193	0.2330867743917874
grp-08	T3	19	0.47254852652549745	0.27647044316486075
grp-08	T3	20	0.03709864802658558	0.11758804480944361
grp-08	T3	21	0.33431996540589765	0.22388042987269513
grp-08	T3	22	0.24810399032301372	0.22476409775454823
grp-08	T3	23	0.11462616920471191	0.12929333001375198
grp-08	T3	24	0.2604554444551468	0.20347822081059852
grp-08	T3	25	0.4559720456600189	0.3299730952296938
grp-08	T3	26	0.1654691845178604	0.15507163107395172
grp-08	T3	27	0.23565191456249782	0.1978123356466708
grp-08	T3	28	0.0768848154693842	0.12738127238117158
grp-08	T3	31	0.7226351499557495	0.7226351499557495
grp-09	T2	3		
grp-09	T2	5	0.15205097198486328	0.22200551629066467
grp-09	T2	6	0.07822180539369583	0.09627439826726913
grp-09	T2	7	0.06718145310878754	0.26963695883750916
grp-09	T2	8		
grp-09	T2	9		
grp-09	T2	10		
grp-09	T2	11	0.3139570653438568	0.21759987995028496
grp-09	T2	12	0.23013257483641306	0.2190289944410324
grp-09	T2	13		
grp-09	T2	14		
grp-09	T2	15	0.16370290517807007	0.18087274581193924
grp-09	T2	16	0.14669381082057953	0.19439496596654257
grp-09	T2	17	0.202112739905715	0.19028338138014078
grp-09	T2	18	0.038583838691314064	0.13611370790749788
grp-09	T2	19	0.10380315966904163	0.1338284618564342
grp-09	T3	0	0.4339558407664299	0.4339558407664299
grp-09	T3	7		
grp-09	T3	8	0.09174087923020124	0.11544357379898429
grp-09	T3	9	0.09539935737848282	0.1292354203760624
grp-09	T3	10	0.41581402346491814	0.24363906122744083
grp-09	T3	11	0.3036389872431755	0.20903750881552696
grp-09	T3	12		
grp-09	T3	13	0.1733950823545456	0.09887022594921291
grp-09	T3	14	0.20789597183465958	0.181191832655006
grp-09	T3	15	0.3339068591594696	0.17755056420962015
grp-09	T3	16		
grp-09	T3	17	0.18378972510496774	0.1660178385320164
grp-09	T3	18	0.18402399734726974	0.16640184754505755
grp-09	T3	19	0.06972465415795644	0.11331203662686878
grp-09	T3	20		
grp-09	T3	21	0.12125063315033913	0.17308950573205947
grp-09	T3	22	0.19023259977499643	0.16427186504006386
grp-09	T3	23	0.3145712584257126	0.19240255653858185
grp-09	T3	24	0.28664660453796387	0.28664660453796387
grp-10	T1	7	0.26125216484069824	0.28632956445217134
grp-10	T1	8	0.07796142250299454	0.07796142250299454
grp-10	T1	9		
grp-10	T1	10	0.5778682827949524	0.5317001044750214
grp-10	T1	11		
grp-10	T1	12	0.14296631515026093	0.14800093322992325
grp-10	T1	13	0.2983108162879944	0.2983108162879944
grp-10	T1	14		
grp-10	T1	15	0.3373476415872574	0.24348607566207647
grp-10	T1	16	0.09084263443946838	0.19183672219514847
grp-10	T1	17	0.3078510935107867	0.2888256600126624
grp-10	T1	18	0.22150579591592154	0.27280667424201965
grp-10	T1	19	0.09656716138124466	0.09656716138124466
grp-10	T2	5	0.274116151034832	0.2110097755988439
grp-10	T2	6	0.4162508249282837	0.4162508249282837
grp-10	T2	7	0.18124816566705704	0.2062136773020029
grp-10	T2	8	0.3453763723373413	0.3453763723373413
grp-10	T2	9		
grp-10	T2	10	0.14280136674642563	0.11508513637818396
grp-10	T2	11		
grp-10	T2	12	0.08601321776707967	0.15601419437338004
grp-10	T2	13	0.12576525285840034	0.14850993206103644
grp-10	T2	14	0.3483121991157532	0.32013215124607086
grp-10	T2	15		
grp-10	T2	16		
grp-10	T2	17	0.15873782336711884	0.27965986852844554
grp-10	T2	18	0.13465364277362823	0.13465364277362823
grp-10	T2	19	0.13211707770824432	0.13211707770824432
grp-10	T2	20	0.09360429644584656	0.09360429644584656
grp-10	T2	21	0.4074639678001404	0.24680267150203386
grp-10	T2	22		
grp-10	T2	23	0.4911509156227112	0.38928063213825226
grp-10	T2	24	0.10731390863656998	0.16718914173543453
grp-10	T2	25	0.11392746865749359	0.11392746865749359
grp-10	T2	26	0.16347328200936317	0.16347328200936317
grp-10	T2	27	0.2853006348013878	0.19808010935783385
grp-10	T2	28	0.1994456946849823	0.1658742922757353
grp-10	T2	29	0.2900266319513321	0.19470823248443397
grp-10	T3	8	0.15936181942621866	0.17059220373630524
grp-10	T3	9		
grp-10	T3	10	0.12998787810405096	0.13491007592529058
grp-10	T3	11		
grp-10	T3	12	0.05986693128943443	0.19155578911304474
grp-10	T3	13		
