group_id	task_id	window_index	group_hr_mean_bpm_mean	group_hrv_rmssd_ms_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	group_et_blink_rate_per_min_mean	group_et_gaze_dispersion_mean	tr_spk_duration_s	tr_backchannel_count	tr_overlap_count	tr_competitive_overlap	cluster
grp-07	T3	0	-0.19159569363437723	-0.9713458927046282	-0.6302537256469654	-1.1615998340046076	2.9847	24.0044	0.1167	19.135	0.0	1.0	0.0	0
grp-07	T3	1	1.5124417705046593	0.3648730930086005	-0.2767505230901301	-1.1958521581400376	3.1056	18.0153	0.128	31.568	4.0	11.0	0.0	1
grp-07	T3	2	2.3511471681646277	1.128856837666795	0.3068103192259154	-1.0694447714498694	3.0231	16.6808	0.1442	43.028	2.0	11.0	0.0	1
grp-07	T3	3	0.6604057033642959	-1.5391906837215954	1.0096083528805757	-1.0302992581523096	2.9515	23.3376	0.1595	41.654	2.0	11.0	2.0	1
grp-07	T3	4	-0.4265032386653841	0.18453521570102344	0.07675267946670516	-1.0539496724362458	2.9165	27.3566	0.1923	34.539	2.0	9.0	4.0	1
grp-07	T3	5	-1.1351956049820893	1.9670749704201664	1.5987803571419683	-1.0074643753953756	2.9111	26.0221	0.1512	36.355	1.0	6.0	1.0	1
grp-07	T3	6	-1.2171731550117297	-1.4728057160049572	1.826032415928505	-0.9650567359896327	2.9126	20.6704	0.1343	31.912	4.0	6.0	1.0	1
grp-07	T3	7	-0.2769535824789416	-0.7065500696453041	0.8903711615419613	-0.9275422857460776	3.061	16.0136	0.1241	27.356	3.0	3.0	1.0	0
grp-07	T3	8	-0.005313022325749012	-0.6161454211899903	1.1330539156782011	-0.8590376374753335	3.2036	15.3464	0.0866	26.144	0.0	1.0	0.0	0
grp-07	T3	9	0.4754751675816382	0.42860561548878573	1.2452771545851329	-0.6828828276361697	2.8095	18.0086	0.107	43.498	2.0	1.0	1.0	0
grp-07	T3	10	0.27079998610565004	1.4355351685925184	1.2424715736124592	-0.5589220355271242	2.4634	20.0171	0.0809	41.31	1.0	15.0	1.0	1
grp-07	T3	11	-0.5455605052341226	1.2640747471833924	0.19037870885997396	-0.5360871527701901	2.575	24.6832	0.1081	71.821	0.0	9.0	9.0	1
grp-07	T3	12	-1.7423217912134379	-0.0022094244046697766	0.07534988898036867	-0.5581065040000639	2.7049	22.686	0.1418	10.84	2.0	3.0	3.0	1
grp-10	T1	0	-1.1392304573071101	0.39502715073444655	1.3162683940801556	-1.8633915857884615	3.4215	10.0019	0.1051	44.601	0.0	0.0	0.0	0
grp-10	T1	1	-0.6814139712583833	-0.9166089249302304	-0.6213921311916107	-1.853398725438224	3.4757	4.0034	0.108	11.341	1.0	0.0	0.0	0
grp-10	T1	2	0.34193587648245627	1.8103058440216677	-0.3003825032523759	-1.8377577266291192	3.4566		0.0983	19.306	2.0	0.0	0.0	0
grp-10	T1	3	0.16670324905965664	-0.8014044029381552	-0.9424017591308456	-1.8029999514978505	3.4491		0.0823	24.852	1.0	0.0	0.0	0
grp-10	T1	4	-0.4416994526820902	-1.5401918044289602	-0.29651491737359015	-1.7365257065592477	3.4683		0.0892	28.719	2.0	0.0	0.0	0
grp-10	T1	5	-0.547123638862239	-1.2129472394194405	0.34937192438366527	-1.7104573752107806	3.4623	4.0034	0.1196	31.529	1.0	2.0	0.0	0
grp-10	T1	6	-0.5463034094422031	1.7733565172983734	0.024494710565644673	-1.662230962216123	3.4984	3.0006	0.1484	29.163	2.0	1.0	0.0	0
grp-10	T1	7	-0.6182760704798895	-0.873636841695286	-0.9424017591308456	-1.597929078223236	3.3768	5.3379	0.1815	17.821	3.0	0.0	0.0	0
grp-10	T1	8	-0.09003844169402735	-0.26259933962669424	-1.588288600888101	-1.5231998616909868	3.1726	11.3431	0.1796	53.715	2.0	1.0	0.0	0
grp-10	T1	9	-0.09270665787968929	-0.16611738123055153	-0.9424017591308456	-1.4367398960519089	3.1231	8.0015	0.1559	29.728	1.0	0.0	0.0	0
grp-10	T1	10	-0.20797359710028054	1.862547770443571	-0.6213921311916107	-1.3602727907630685	3.082	7.3396	0.1762	16.547	2.0	4.0	0.0	0
grp-10	T1	11	0.5799111133969844	-0.11652514255871213	-0.29651491737359015	-1.2842401576633837	3.0469	8.6965	0.1655	29.379	1.0	3.0	3.0	1
grp-10	T1	12	1.5633464234567573	-2.1456495192570024	0.6742491382016862	-1.266426797908594	3.0455	8.0015	0.1626	0.38	0.0	0.0	0.0	0
grp-10	T2	0	0.2620573897094757	-1.781553162042596	-0.9424017591308456	0.7421381324907014	3.1784	12.0023	0.1854	24.298	0.0	1.0	0.0	0
grp-10	T2	1	1.1879284061341355	-1.4074676445679764	-1.2672789729488663	0.87030742828732	3.2073	15.0129	0.1729	22.705	1.0	0.0	0.0	0
grp-10	T2	2	1.9772164006994168	0.08080344393229887	-0.29651491737359015	0.9189683134711332	3.0661	12.0103	0.1533	8.607	1.0	0.0	0.0	0
grp-10	T2	3	1.123486044109317	-0.052010122570557774	-0.29651491737359015	0.8555353738565262	2.9889	6.0011	0.1305	41.633	1.0	0.0	0.0	0
