group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index
grp-16	T2	10	300.0	57.4413	0.1086	36.2536	2.7904	10.459	0.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-16	T2	11	330.0	64.8379	0.0835	36.2459	2.8317	2.724	2.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-16	T2	12	360.0	67.0486	0.0417	36.2564	2.8099	0.586	3.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-16	T2	13	390.0	57.4975	0.0835	36.2995	2.7694	12.25	5.0	3.0	4.0	0.0	0.0	0.0	0.0
grp-16	T2	14	420.0	54.0684	0.0835	36.3515	2.7744	3.276	2.0	1.0	4.0	0.0	0.0	0.0	0.0
grp-16	T2	15	450.0	62.2112	0.0417	36.3858	2.7601	8.32	5.0	0.0	4.0	0.0	0.0	0.0	0.0
grp-16	T2	16	480.0	65.0952	0.0167	36.3983	2.7485	3.01	0.0	1.0	3.0	0.0	0.0	0.0	0.0
grp-16	T3	0	0.0	55.5598	0.125	36.2742	2.7915	23.093	0.0	0.0	0.0	4.0	2.0	2.359	0.25
grp-16	T3	1	30.0	55.0721	0.0752	36.2531	2.7893	5.007	1.0	3.0	4.0	6.0	2.0	6.438	0.16666666666666666
grp-16	T3	2	60.0	58.6667	0.0668	36.2512	2.8508	11.912	8.0	2.0	3.0	3.0	2.0	6.781	0.6666666666666666
grp-16	T3	3	90.0	62.0099	0.1252	36.2455	2.9368	6.769	2.0	1.0	3.0	6.0	4.0	8.503	0.3333333333333333
grp-16	T3	4	120.0	55.1557	0.1669	36.2459	2.9461	6.768	2.0	1.0	3.0	10.0	5.0	7.946	0.2
grp-16	T3	5	150.0	55.377	0.1252	36.2667	2.9448	1.915	1.0	1.0	2.0	3.0	0.0	0.978	0.3333333333333333
grp-16	T3	6	180.0	66.4191	0.1419	36.2953	2.9487	4.162	2.0	0.0	4.0	3.0	2.0	3.799	0.0
grp-16	T3	7	210.0	76.0056	0.1168	36.2925	2.9376	4.244	3.0	2.0	2.0	8.0	6.0	9.773	0.5
grp-16	T3	8	240.0	77.6958	0.1085	36.271	2.9638	4.051	0.0	0.0	3.0	5.0	4.0	11.696	0.4
grp-16	T3	9	270.0	74.4404	0.1168	36.2618	3.0041	6.358	0.0	0.0	4.0	0.0	0.0	0.0	0.0
grp-16	T3	10	300.0	74.8527	0.1002	36.2576	2.963	3.113	3.0	1.0	3.0	0.0	0.0	0.0	0.0
