group_id	task_id	window_index	da_n_utterances	da_n_speakers	da_statement	da_proposal	da_agreement	da_disagreement	da_compromise	da_question	da_answer	da_backchannel	da_hedge	da_decision	da_offtask	da_dominant
grp-07	T2	29	9	4	0.1819682079884741	0.06386198496652974	0.05816702586081293	0.059244178649452	0.029812556691467762	0.022890232141233154	0.015780271056832537	0.0781094262169467	0.3977740986479653	0.05270302564733558	0.03968898796786865	hedge
grp-07	T2	30	2	1	0.0907018855214119	0.12373516336083412	0.06700623966753483	0.029635088751092553	0.02331522712484002	0.022465654648840427	0.04483230202458799	0.03209139220416546	0.43697506189346313	0.09750882349908352	0.03173314081504941	hedge
grp-07	T3	10	1	1	0.009035265073180199	0.054596152156591415	0.010666958056390285	0.004714979790151119	0.026738276705145836	0.00905292946845293	0.04073121398687363	0.011288579553365707	0.8046384453773499	0.021234506741166115	0.0073027038015425205	hedge
grp-07	T3	11	14	4	0.08062234614044428	0.047407615796795914	0.03593976835587195	0.05127171699755958	0.07840335156236376	0.02072957726860685	0.006807128998583981	0.05506456836259791	0.5358776428869793	0.05388279285814081	0.033993514986442666	hedge
grp-07	T3	12	10	3	0.10739604011178017	0.03817090354859829	0.06501563340425491	0.06021692301146686	0.026804865710437296	0.018103011359926313	0.030182302952744065	0.06671238038688898	0.5134006023406983	0.042013063398189845	0.03198428651085124	hedge
grp-07	T3	13	4	2	0.07837008591741323	0.1228398378007114	0.060670359060168266	0.05573921976611018	0.04285916592925787	0.021382728591561317	0.005900321790250018	0.05777360592037439	0.44063850492239	0.08461148990318179	0.029214655281975865	hedge
grp-07	T3	14	11	4	0.0797351138158278	0.08687439459291371	0.06806796662170779	0.05697824200615287	0.07255765253847296	0.01965341104236855	0.00531173243441365	0.06108497093770315	0.4645606292919679	0.04588262922003527	0.03929324006788771	hedge
grp-07	T3	15	13	2	0.0851891149695103	0.09492201487032267	0.042085906777244345	0.05937848207899011	0.10197927387287983	0.02615290844383148	0.00939989394436662	0.06845022960064504	0.4033536481169554	0.05885723376503357	0.0502312988615953	hedge
grp-07	T3	16	6	3	0.12582852008442083	0.05427433208872875	0.061828975255290665	0.04574764162922899	0.034692755434662104	0.02090006977474938	0.013886207753481964	0.05926457171638807	0.5062669267257055	0.051314722280949354	0.02599532149421672	hedge
grp-07	T3	17	5	3	0.07535060420632363	0.03305303137749434	0.03790235184133053	0.060793479532003404	0.14571631290018558	0.011964293196797371	0.0041815854609012605	0.05125551968812943	0.5272399753332138	0.0300473315641284	0.022495496459305285	hedge
grp-07	T3	18	6	2	0.08050439165284236	0.033608890526617564	0.041014949791133404	0.047532222544153534	0.05565942140916983	0.01589847371603052	0.01753741883051892	0.08050688604513805	0.5353895599643389	0.05188116213927666	0.04046661282579104	hedge
grp-07	T3	19	7	3	0.03895131831190416	0.1127959602246327	0.0451967686946903	0.026884386415726373	0.11061304062604904	0.02443997383982475	0.007943446631543338	0.06209503420229469	0.5012102595397404	0.04659628868103027	0.023273534573880688	hedge
grp-07	T3	20	7	3	0.05592887928443296	0.06764975615910121	0.029954605868884494	0.03969728121800082	0.034627472183534076	0.012997087091207504	0.0071620689039783815	0.04908207830573831	0.6074175621782031	0.06067923429821219	0.03480400903416531	hedge
grp-07	T3	21	9	4	0.05854553615467416	0.02638507727533579	0.052889139417351946	0.047531609475198716	0.025203031487762928	0.0214596269134846	0.007038006196833319	0.05981601567731963	0.6043391889995999	0.07195414437188043	0.024838633524874847	hedge
